Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,49.49900% to 50.500%,49.49900% to 50.500%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Label,,
TIME,CH1,CH2
4.72000e-07,-0.2,0.2
4.73000e-07,-0.12,0.2
4.74000e-07,-0.2,0.2
4.75000e-07,-0.12,0.4
4.76000e-07,-0.2,0.2
4.77000e-07,-0.12,0.4
4.78000e-07,-0.2,0.4
4.79000e-07,-0.2,0.4
4.80000e-07,-0.2,0.4
4.81000e-07,-0.12,0.4
4.82000e-07,-0.2,0.4
4.83000e-07,-0.12,0.2
4.84000e-07,-0.2,0.2
4.85000e-07,-0.2,0.4
4.86000e-07,-0.2,0.2
4.87000e-07,-0.12,0.4
4.88000e-07,-0.2,0.4
4.89000e-07,-0.12,0.4
4.90000e-07,-0.12,0.4
4.91000e-07,-0.12,0.4
4.92000e-07,-0.12,0.4
4.93000e-07,-0.12,0.4
4.94000e-07,-0.2,0.4
4.95000e-07,-0.12,0.4
4.96000e-07,-0.12,0.4
4.97000e-07,-0.04,0.2
4.98000e-07,-0.12,0.4
4.99000e-07,-0.04,0.2
5.00000e-07,-0.12,0.4
5.01000e-07,-0.12,0.2
5.02000e-07,-0.12,0.2
5.03000e-07,-0.12,0.4
5.04000e-07,-0.12,0.4
5.05000e-07,-0.12,0.4
5.06000e-07,-0.12,0.4
5.07000e-07,-0.12,0.2
5.08000e-07,-0.12,0.4
5.09000e-07,-0.12,0.2
5.10000e-07,-0.12,0.4
5.11000e-07,-0.12,0.4
5.12000e-07,-0.12,0.4
5.13000e-07,-0.12,0.4
5.14000e-07,-0.12,0.4
5.15000e-07,-0.04,0.4
5.16000e-07,-0.12,0.4
5.17000e-07,-0.12,0.4
5.18000e-07,-0.12,0.4
5.19000e-07,-0.12,0.4
5.20000e-07,-0.12,0.4
5.21000e-07,-0.04,0.4
5.22000e-07,-0.12,0.2
5.23000e-07,-0.04,0.2
5.24000e-07,-0.12,0.2
5.25000e-07,-0.04,0.2
5.26000e-07,-0.12,0.2
5.27000e-07,-0.04,0.2
5.28000e-07,-0.12,0.2
5.29000e-07,-0.12,0.2
5.30000e-07,-0.12,0.2
5.31000e-07,-0.12,0.4
5.32000e-07,-0.12,0.4
5.33000e-07,-0.04,0.4
5.34000e-07,-0.12,0.4
5.35000e-07,-0.04,0.4
5.36000e-07,-0.12,0.4
5.37000e-07,-0.04,0.4
5.38000e-07,-0.12,0.4
5.39000e-07,-0.04,0.4
5.40000e-07,-0.12,0.4
5.41000e-07,-0.12,0.2
5.42000e-07,-0.12,0.4
5.43000e-07,-0.12,0.4
5.44000e-07,-0.12,0.4
5.45000e-07,-0.12,0.2
5.46000e-07,-0.12,0.4
5.47000e-07,-0.04,0.4
